"","customer_id","customer_age","age_group","customer_gender","monetary_value","total_gross_profit","total_returns","frequency","recency_days","AOV","M_Score","F_Score","R_Score","RFM_Score","customer_tier"
"41","C10040",25,"Young Adults","Female",180.98,33.13,0,5,61,36.196,1,3,3,7,"Silver"
"42","C10041",61,"Seniors","Male",330.64,83.5,1,2,411,165.32,2,1,1,4,"Bronze"
"43","C10042",62,"Seniors","Male",185.7,43.01,0,5,3,37.14,1,3,3,7,"Silver"
"44","C10043",61,"Seniors","Female",1675.46,221.14,0,5,26,335.092,3,3,3,9,"Gold"
"45","C10044",39,"Middle-Aged","Male",2698.53,302.35,0,4,264,674.6325,3,2,1,6,"Silver"
"46","C10045",21,"Young Adults","Female",376.72,50.94,0,4,280,94.18,2,2,1,5,"Silver"
"47","C10046",42,"Older Adults","Female",54.62,-1.3,0,1,559,54.62,1,1,1,3,"Bronze"
"48","C10047",61,"Seniors","Male",718.65,111.64,0,3,40,239.55,2,2,3,7,"Silver"
"49","C10048",63,"Seniors","Female",64.92,5.4,0,3,325,21.64,1,2,1,4,"Bronze"
"50","C10049",39,"Middle-Aged","Female",77.23,13.81,0,2,30,38.615,1,1,3,5,"Silver"
"51","C10050",41,"Older Adults","Male",563.25,140.39,0,4,215,140.8125,2,2,1,5,"Silver"
"52","C10051",47,"Older Adults","Female",779.9,205.84,2,6,7,129.983333333333,3,3,3,9,"Gold"
"53","C10052",58,"Seniors","Female",56.1,6.15,0,3,108,18.7,1,2,2,5,"Silver"
"54","C10053",53,"Older Adults","Female",93.2,13.95,0,3,25,31.0666666666667,1,2,3,6,"Silver"
"55","C10054",32,"Middle-Aged","Male",381.18,87.76,0,4,92,95.295,2,2,2,6,"Silver"
"56","C10055",19,"Young Adults","Female",1018.72,102.42,0,4,287,254.68,3,2,1,6,"Silver"
"57","C10056",32,"Middle-Aged","Female",838.35,94.64,0,3,288,279.45,3,2,1,6,"Silver"
"58","C10057",48,"Older Adults","Female",94.43,18.95,0,2,144,47.215,1,1,2,4,"Bronze"
"59","C10058",34,"Middle-Aged","Female",1290.28,232.21,0,7,50,184.325714285714,3,3,3,9,"Gold"
"60","C10059",66,"Seniors","Female",802.08,120.16,0,2,520,401.04,3,1,1,5,"Silver"
"61","C10060",53,"Older Adults","Male",2044.12,231.03,0,8,108,255.515,3,3,2,8,"Gold"
"62","C10061",24,"Young Adults","Female",1039.97,229.64,0,4,55,259.9925,3,2,3,8,"Gold"
"63","C10062",19,"Young Adults","Male",302.9,57.79,1,5,191,60.58,2,3,1,6,"Silver"
"64","C10063",51,"Older Adults","Male",420.26,64.05,0,3,116,140.086666666667,2,2,2,6,"Silver"
"65","C10064",41,"Older Adults","Female",413.46,25.72,0,5,152,82.692,2,3,2,7,"Silver"
"66","C10065",49,"Older Adults","Female",245.35,19.52,1,5,17,49.07,1,3,3,7,"Silver"
"67","C10066",36,"Middle-Aged","Female",2920.11,368.98,0,8,337,365.01375,3,3,1,7,"Silver"
"68","C10067",60,"Seniors","Female",489.21,66.92,0,4,81,122.3025,2,2,2,6,"Silver"
"69","C10068",31,"Middle-Aged","Male",923.34,163.28,0,5,94,184.668,3,3,2,8,"Gold"
"70","C10069",21,"Young Adults","Female",384.08,106.85,1,4,290,96.02,2,2,1,5,"Silver"
"71","C10070",31,"Middle-Aged","Male",799.35,100.66,0,4,108,199.8375,3,2,2,7,"Silver"
"72","C10071",49,"Older Adults","Male",902.48,108.97,0,10,111,90.248,3,3,2,8,"Gold"
"73","C10072",39,"Middle-Aged","Male",1261.13,243.2,0,6,40,210.188333333333,3,3,3,9,"Gold"
"74","C10073",20,"Young Adults","Female",1091.08,199.27,0,5,54,218.216,3,3,3,9,"Gold"
"75","C10074",56,"Seniors","Female",175.83,36.85,0,5,32,35.166,1,3,3,7,"Silver"
"76","C10075",33,"Middle-Aged","Male",22.85,0.43,0,2,353,11.425,1,1,1,3,"Bronze"
"77","C10076",27,"Middle-Aged","Male",256.45,40.01,0,4,98,64.1125,1,2,2,5,"Silver"
"78","C10077",19,"Young Adults","Female",188.58,33.95,0,3,451,62.86,1,2,1,4,"Bronze"
"79","C10078",47,"Older Adults","Female",1240.4,146.37,0,4,48,310.1,3,2,3,8,"Gold"
"80","C10079",66,"Seniors","Male",988.27,109.33,0,6,67,164.711666666667,3,3,2,8,"Gold"
"81","C10080",61,"Seniors","Female",339.25,57.03,0,5,18,67.85,2,3,3,8,"Gold"
"82","C10081",26,"Middle-Aged","Male",176.85,6.1,0,6,323,29.475,1,3,1,5,"Silver"
"83","C10082",29,"Middle-Aged","Male",94.86,28.28,0,2,59,47.43,1,1,3,5,"Silver"
"84","C10083",68,"Seniors","Male",1610.28,246.17,0,4,43,402.57,3,2,3,8,"Gold"
"85","C10084",69,"Seniors","Female",303.61,70.36,0,6,146,50.6016666666667,2,3,2,7,"Silver"
"86","C10085",32,"Middle-Aged","Male",144.97,4.56,0,5,58,28.994,1,3,3,7,"Silver"
"87","C10086",57,"Seniors","Male",23.15,-3.66,0,2,125,11.575,1,1,2,4,"Bronze"
"88","C10087",48,"Older Adults","Male",130.64,27.18,0,2,473,65.32,1,1,1,3,"Bronze"
"89","C10088",56,"Seniors","Other",376.75,141.59,0,4,67,94.1875,2,2,2,6,"Silver"
"90","C10089",37,"Middle-Aged","Male",1392.8,187.6,1,7,240,198.971428571429,3,3,1,7,"Silver"
"91","C10090",33,"Middle-Aged","Female",1452.69,171.65,0,3,195,484.23,3,2,1,6,"Silver"
"92","C10091",44,"Older Adults","Female",939.5,220.72,1,7,217,134.214285714286,3,3,1,7,"Silver"
"93","C10092",48,"Older Adults","Male",776.72,63.18,0,4,422,194.18,3,2,1,6,"Silver"
"94","C10093",40,"Middle-Aged","Female",37.33,4.31,0,2,537,18.665,1,1,1,3,"Bronze"
"95","C10094",64,"Seniors","Female",1045.52,219.84,0,4,270,261.38,3,2,1,6,"Silver"
"96","C10095",22,"Young Adults","Male",106.61,18.56,0,5,107,21.322,1,3,2,6,"Silver"
"97","C10096",37,"Middle-Aged","Male",3.11,-0.26,0,1,132,3.11,1,1,2,4,"Bronze"
"98","C10097",43,"Older Adults","Male",174.4,32.06,0,5,49,34.88,1,3,3,7,"Silver"
"99","C10098",26,"Middle-Aged","Female",1435.16,168.44,0,7,142,205.022857142857,3,3,2,8,"Gold"
"100","C10099",66,"Seniors","Female",63.16,9.7,0,2,614,31.58,1,1,1,3,"Bronze"
"101","C10100",50,"Older Adults","Female",228.57,62.74,0,3,433,76.19,1,2,1,4,"Bronze"
"102","C10101",47,"Older Adults","Male",2.5,0.09,0,1,174,2.5,1,1,2,4,"Bronze"
"103","C10102",29,"Middle-Aged","Male",655.68,141.66,0,7,111,93.6685714285714,2,3,2,7,"Silver"
"104","C10103",30,"Middle-Aged","Female",17.12,-0.07,1,1,224,17.12,1,1,1,3,"Bronze"
"105","C10104",52,"Older Adults","Male",374.37,79.69,1,6,168,62.395,2,3,2,7,"Silver"
"106","C10105",68,"Seniors","Female",486.63,89.32,2,8,115,60.82875,2,3,2,7,"Silver"
"107","C10106",59,"Seniors","Male",2057.57,346.39,2,10,37,205.757,3,3,3,9,"Gold"
"108","C10107",44,"Older Adults","Male",323.6,67.95,1,4,242,80.9,2,2,1,5,"Silver"
"109","C10108",48,"Older Adults","Female",46.71,11.38,1,1,231,46.71,1,1,1,3,"Bronze"
"110","C10109",40,"Middle-Aged","Female",523.49,93.22,0,8,54,65.43625,2,3,3,8,"Gold"
"111","C10110",39,"Middle-Aged","Male",401.56,81.08,1,9,12,44.6177777777778,2,3,3,8,"Gold"
"112","C10111",67,"Seniors","Male",1099.55,289,0,6,197,183.258333333333,3,3,1,7,"Silver"
"113","C10112",67,"Seniors","Female",27.43,-2.65,0,3,68,9.14333333333333,1,2,2,5,"Silver"
"114","C10113",42,"Older Adults","Male",65.08,4.31,0,3,88,21.6933333333333,1,2,2,5,"Silver"
"115","C10114",57,"Seniors","Male",230.03,34.51,1,6,124,38.3383333333333,1,3,2,6,"Silver"
"116","C10115",67,"Seniors","Other",203.24,41.28,2,6,226,33.8733333333333,1,3,1,5,"Silver"
"117","C10116",60,"Seniors","Male",817.54,124.89,0,7,9,116.791428571429,3,3,3,9,"Gold"
"118","C10117",38,"Middle-Aged","Male",94.7,9.04,0,3,263,31.5666666666667,1,2,1,4,"Bronze"
"119","C10118",47,"Older Adults","Male",288.45,19.87,2,2,187,144.225,1,1,1,3,"Bronze"
"120","C10119",38,"Middle-Aged","Other",79.71,4.55,0,2,108,39.855,1,1,2,4,"Bronze"
"121","C10120",40,"Middle-Aged","Female",119.77,32.3,0,3,269,39.9233333333333,1,2,1,4,"Bronze"
"122","C10121",54,"Older Adults","Female",244.29,13.99,0,2,30,122.145,1,1,3,5,"Silver"
"123","C10122",68,"Seniors","Female",493.63,50.66,0,4,120,123.4075,2,2,2,6,"Silver"
"124","C10123",54,"Older Adults","Male",278.65,29.31,0,4,169,69.6625,1,2,2,5,"Silver"
"125","C10124",37,"Middle-Aged","Male",1567.66,340.05,0,4,162,391.915,3,2,2,7,"Silver"
"126","C10125",61,"Seniors","Female",2549.82,292.42,0,6,26,424.97,3,3,3,9,"Gold"
"127","C10126",37,"Middle-Aged","Female",116.9,12.17,1,2,123,58.45,1,1,2,4,"Bronze"
"128","C10127",42,"Older Adults","Female",202.11,46.39,1,2,524,101.055,1,1,1,3,"Bronze"
"129","C10128",38,"Middle-Aged","Male",568.19,92.18,1,5,186,113.638,2,3,1,6,"Silver"
"130","C10129",52,"Older Adults","Female",436.82,39.47,0,5,366,87.364,2,3,1,6,"Silver"
"131","C10130",56,"Seniors","Male",164.99,23.03,1,4,337,41.2475,1,2,1,4,"Bronze"
"132","C10131",28,"Middle-Aged","Male",181.97,31.97,0,5,272,36.394,1,3,1,5,"Silver"
"133","C10132",63,"Seniors","Female",741.55,106.74,0,3,590,247.183333333333,2,2,1,5,"Silver"
"134","C10133",57,"Seniors","Female",2256.39,334.59,1,7,19,322.341428571429,3,3,3,9,"Gold"
"135","C10134",35,"Middle-Aged","Male",774.12,195.74,1,3,234,258.04,3,2,1,6,"Silver"
"136","C10135",60,"Seniors","Male",238.95,10.33,0,4,5,59.7375,1,2,3,6,"Silver"
"137","C10136",28,"Middle-Aged","Female",423.66,71.77,0,5,47,84.732,2,3,3,8,"Gold"
"138","C10137",62,"Seniors","Female",187.68,34.76,0,4,28,46.92,1,2,3,6,"Silver"
"139","C10138",24,"Young Adults","Other",331.26,23.32,0,7,70,47.3228571428571,2,3,2,7,"Silver"
"140","C10139",64,"Seniors","Other",148.34,30.23,0,3,5,49.4466666666667,1,2,3,6,"Silver"
"141","C10140",19,"Young Adults","Male",1308.65,190.29,0,5,3,261.73,3,3,3,9,"Gold"
"142","C10141",65,"Seniors","Female",409.84,96.62,0,5,121,81.968,2,3,2,7,"Silver"
"143","C10142",28,"Middle-Aged","Male",379.74,96.54,0,7,1,54.2485714285714,2,3,3,8,"Gold"
"144","C10143",55,"Older Adults","Male",2263.23,499.22,0,6,41,377.205,3,3,3,9,"Gold"
"145","C10144",53,"Older Adults","Female",64.7,22.7,0,1,598,64.7,1,1,1,3,"Bronze"
"146","C10145",59,"Seniors","Male",721.97,100.56,0,4,41,180.4925,2,2,3,7,"Silver"
"147","C10146",68,"Seniors","Female",912.17,251.44,1,5,33,182.434,3,3,3,9,"Gold"
"148","C10147",65,"Seniors","Male",606.77,65.14,0,4,67,151.6925,2,2,2,6,"Silver"
"149","C10148",41,"Older Adults","Male",847.47,114.98,0,8,232,105.93375,3,3,1,7,"Silver"
"150","C10149",19,"Young Adults","Male",1560.38,179.36,0,4,179,390.095,3,2,2,7,"Silver"
"151","C10150",67,"Seniors","Male",612.34,65.6,0,2,230,306.17,2,1,1,4,"Bronze"
"152","C10151",60,"Seniors","Female",3336.53,402.95,0,6,90,556.088333333333,3,3,2,8,"Gold"
"153","C10152",69,"Seniors","Female",119,20.84,0,2,295,59.5,1,1,1,3,"Bronze"
"154","C10153",32,"Middle-Aged","Female",843.53,169.55,0,7,22,120.504285714286,3,3,3,9,"Gold"
"155","C10154",49,"Older Adults","Male",827,138.16,1,7,99,118.142857142857,3,3,2,8,"Gold"
"156","C10155",35,"Middle-Aged","Female",930.01,105.31,0,4,349,232.5025,3,2,1,6,"Silver"
"157","C10156",41,"Older Adults","Other",64.64,11.29,1,3,28,21.5466666666667,1,2,3,6,"Silver"
"158","C10157",30,"Middle-Aged","Male",16.99,-2.4,0,2,85,8.495,1,1,2,4,"Bronze"
"159","C10158",45,"Older Adults","Female",834.43,113.57,0,4,170,208.6075,3,2,2,7,"Silver"
"160","C10159",42,"Older Adults","Male",622.61,114.15,1,4,7,155.6525,2,2,3,7,"Silver"
"161","C10160",69,"Seniors","Male",4703.29,565.11,1,5,161,940.658,3,3,2,8,"Gold"
"162","C10161",69,"Seniors","Male",1280.72,261.44,0,8,115,160.09,3,3,2,8,"Gold"
"163","C10162",68,"Seniors","Female",1165.23,167.23,0,3,476,388.41,3,2,1,6,"Silver"
"164","C10163",65,"Seniors","Female",425.17,61.89,1,3,202,141.723333333333,2,2,1,5,"Silver"
"165","C10164",53,"Older Adults","Female",373.48,126.67,0,4,95,93.37,2,2,2,6,"Silver"
"166","C10165",60,"Seniors","Female",656.23,172.22,0,4,298,164.0575,2,2,1,5,"Silver"
"167","C10166",46,"Older Adults","Male",371.06,47.16,0,3,332,123.686666666667,2,2,1,5,"Silver"
"168","C10167",19,"Young Adults","Male",163.59,49.59,0,1,631,163.59,1,1,1,3,"Bronze"
"169","C10168",62,"Seniors","Male",619.41,169.13,0,2,525,309.705,2,1,1,4,"Bronze"
"170","C10169",29,"Middle-Aged","Female",549.53,60.19,0,3,227,183.176666666667,2,2,1,5,"Silver"
"171","C10170",67,"Seniors","Male",388.29,137.13,1,4,91,97.0725,2,2,2,6,"Silver"
"172","C10171",42,"Older Adults","Female",699.62,170.03,1,6,365,116.603333333333,2,3,1,6,"Silver"
"173","C10172",35,"Middle-Aged","Female",85.03,4.6,0,2,594,42.515,1,1,1,3,"Bronze"
"174","C10173",36,"Middle-Aged","Other",743.66,102.23,1,3,132,247.886666666667,2,2,2,6,"Silver"
"175","C10174",39,"Middle-Aged","Male",703.66,162.89,0,3,75,234.553333333333,2,2,2,6,"Silver"
"176","C10175",64,"Seniors","Female",549.03,137.26,0,5,135,109.806,2,3,2,7,"Silver"
"177","C10176",24,"Young Adults","Female",791.52,186.25,1,5,81,158.304,3,3,2,8,"Gold"
"178","C10177",49,"Older Adults","Female",131.05,27.9,0,2,226,65.525,1,1,1,3,"Bronze"
"179","C10178",51,"Older Adults","Male",812.02,136.02,0,6,109,135.336666666667,3,3,2,8,"Gold"
"180","C10179",64,"Seniors","Female",1223.48,319.23,0,3,160,407.826666666667,3,2,2,7,"Silver"
"181","C10180",19,"Young Adults","Male",24.06,-4.1,0,2,50,12.03,1,1,3,5,"Silver"
"182","C10181",20,"Young Adults","Female",368.72,34.02,0,2,111,184.36,2,1,2,5,"Silver"
"183","C10182",34,"Middle-Aged","Male",448.73,109.75,0,3,148,149.576666666667,2,2,2,6,"Silver"
"184","C10183",62,"Seniors","Female",34.68,6.61,0,2,12,17.34,1,1,3,5,"Silver"
"185","C10184",18,"Young Adults","Male",1160.18,291.57,2,9,19,128.908888888889,3,3,3,9,"Gold"
"186","C10185",28,"Middle-Aged","Male",417.55,39.57,0,3,186,139.183333333333,2,2,1,5,"Silver"
"187","C10186",27,"Middle-Aged","Male",599.12,88.74,1,8,104,74.89,2,3,2,7,"Silver"
"188","C10187",28,"Middle-Aged","Male",486.25,137.04,0,5,15,97.25,2,3,3,8,"Gold"
"189","C10188",52,"Older Adults","Female",79.13,-1.27,0,2,112,39.565,1,1,2,4,"Bronze"
"190","C10189",55,"Older Adults","Female",571.95,62.58,1,4,18,142.9875,2,2,3,7,"Silver"
"191","C10190",21,"Young Adults","Female",420.97,65.89,0,7,89,60.1385714285714,2,3,2,7,"Silver"
"192","C10191",52,"Older Adults","Female",941.75,188.94,1,7,86,134.535714285714,3,3,2,8,"Gold"
"193","C10192",18,"Young Adults","Female",1342.49,167.52,0,4,311,335.6225,3,2,1,6,"Silver"
"194","C10193",29,"Middle-Aged","Male",963.7,210.57,0,5,60,192.74,3,3,3,9,"Gold"
"195","C10194",20,"Young Adults","Male",129.25,30.18,0,3,53,43.0833333333333,1,2,3,6,"Silver"
"196","C10195",31,"Middle-Aged","Female",240.96,17.94,0,5,4,48.192,1,3,3,7,"Silver"
"197","C10196",23,"Young Adults","Male",326.37,85.32,0,2,675,163.185,2,1,1,4,"Bronze"
"198","C10197",18,"Young Adults","Male",612.61,168.86,0,5,34,122.522,2,3,3,8,"Gold"
"199","C10198",36,"Middle-Aged","Female",102.59,25.81,0,2,455,51.295,1,1,1,3,"Bronze"
"200","C10199",39,"Middle-Aged","Female",903.09,86.13,0,2,677,451.545,3,1,1,5,"Silver"
"201","C10200",52,"Older Adults","Male",540.35,143.91,1,4,196,135.0875,2,2,1,5,"Silver"
"202","C10201",50,"Older Adults","Female",412.41,70.17,0,7,115,58.9157142857143,2,3,2,7,"Silver"
"203","C10202",20,"Young Adults","Female",128.57,26.25,0,2,60,64.285,1,1,3,5,"Silver"
"204","C10203",28,"Middle-Aged","Male",655.51,167.79,0,3,41,218.503333333333,2,2,3,7,"Silver"
"205","C10204",47,"Older Adults","Female",299.51,58.83,0,5,318,59.902,2,3,1,6,"Silver"
"206","C10205",32,"Middle-Aged","Female",298.72,91.95,0,3,8,99.5733333333333,2,2,3,7,"Silver"
"207","C10206",56,"Seniors","Female",182.04,46.38,0,3,507,60.68,1,2,1,4,"Bronze"
"208","C10207",49,"Older Adults","Male",400.65,87.07,0,7,91,57.2357142857143,2,3,2,7,"Silver"
"209","C10208",60,"Seniors","Male",510.52,72.29,0,5,196,102.104,2,3,1,6,"Silver"
"210","C10209",27,"Middle-Aged","Male",891.71,123.09,0,9,32,99.0788888888889,3,3,3,9,"Gold"
"211","C10210",23,"Young Adults","Male",10.29,-2.74,0,1,23,10.29,1,1,3,5,"Silver"
"212","C10211",64,"Seniors","Female",128.5,28.78,0,2,335,64.25,1,1,1,3,"Bronze"
"213","C10212",58,"Seniors","Female",34.27,4.59,0,2,276,17.135,1,1,1,3,"Bronze"
"214","C10213",54,"Older Adults","Male",119.68,29.63,0,4,43,29.92,1,2,3,6,"Silver"
"215","C10214",49,"Older Adults","Female",171.63,35.06,0,3,124,57.21,1,2,2,5,"Silver"
"216","C10215",44,"Older Adults","Male",71.57,13.59,0,3,108,23.8566666666667,1,2,2,5,"Silver"
"217","C10216",68,"Seniors","Male",1073.6,124.11,0,3,371,357.866666666667,3,2,1,6,"Silver"
"218","C10218",21,"Young Adults","Male",147.22,32.59,0,2,219,73.61,1,1,1,3,"Bronze"
"219","C10219",53,"Older Adults","Male",721.87,83.14,0,8,2,90.23375,2,3,3,8,"Gold"
"220","C10220",52,"Older Adults","Male",319.35,73.62,0,5,117,63.87,2,3,2,7,"Silver"
"221","C10222",28,"Middle-Aged","Female",966.11,220.79,1,5,74,193.222,3,3,2,8,"Gold"
"222","C10223",58,"Seniors","Male",974.44,179.52,0,4,31,243.61,3,2,3,8,"Gold"
"223","C10224",59,"Seniors","Male",210.71,44.67,1,5,213,42.142,1,3,1,5,"Silver"
"224","C10225",18,"Young Adults","Female",727.53,94.42,1,7,225,103.932857142857,2,3,1,6,"Silver"
"225","C10226",35,"Middle-Aged","Female",356.23,34.02,0,7,35,50.89,2,3,3,8,"Gold"
"226","C10227",55,"Older Adults","Male",499.53,100.3,0,5,36,99.906,2,3,3,8,"Gold"
"227","C10228",23,"Young Adults","Female",66.94,7.44,0,4,167,16.735,1,2,2,5,"Silver"
"228","C10229",49,"Older Adults","Female",219.15,51.64,1,3,90,73.05,1,2,2,5,"Silver"
"229","C10230",52,"Older Adults","Female",4.75,-0.86,0,1,188,4.75,1,1,1,3,"Bronze"
"230","C10231",25,"Young Adults","Male",220.47,52.69,0,2,25,110.235,1,1,3,5,"Silver"
"231","C10232",38,"Middle-Aged","Male",1192.2,327.9,0,6,71,198.7,3,3,2,8,"Gold"
"232","C10233",22,"Young Adults","Male",548.91,47.98,0,5,58,109.782,2,3,3,8,"Gold"
"233","C10234",31,"Middle-Aged","Male",418.95,63.3,1,5,197,83.79,2,3,1,6,"Silver"
"234","C10235",69,"Seniors","Female",112.96,21.95,0,4,288,28.24,1,2,1,4,"Bronze"
"235","C10236",44,"Older Adults","Male",933.89,105.14,0,6,45,155.648333333333,3,3,3,9,"Gold"
"236","C10237",52,"Older Adults","Male",65.51,9.3,1,4,230,16.3775,1,2,1,4,"Bronze"
"237","C10238",31,"Middle-Aged","Female",1725.1,271.05,0,7,110,246.442857142857,3,3,2,8,"Gold"
"238","C10239",63,"Seniors","Male",694.92,183.71,0,6,33,115.82,2,3,3,8,"Gold"
"239","C10240",44,"Older Adults","Female",645.24,147.33,0,6,195,107.54,2,3,1,6,"Silver"
"240","C10241",25,"Young Adults","Female",279.23,28.49,0,7,23,39.89,1,3,3,7,"Silver"
"241","C10242",55,"Older Adults","Female",920.49,166.06,0,5,343,184.098,3,3,1,7,"Silver"
"242","C10243",63,"Seniors","Male",260.7,43.44,0,3,109,86.9,1,2,2,5,"Silver"
"243","C10244",21,"Young Adults","Female",1339.82,348.01,1,9,5,148.868888888889,3,3,3,9,"Gold"
"244","C10245",52,"Older Adults","Male",223.85,33.42,1,6,3,37.3083333333333,1,3,3,7,"Silver"
"245","C10246",26,"Middle-Aged","Male",78.91,2.79,0,5,20,15.782,1,3,3,7,"Silver"
"246","C10248",59,"Seniors","Male",810.83,102.02,0,4,141,202.7075,3,2,2,7,"Silver"
"247","C10249",56,"Seniors","Female",275.42,57.56,1,6,16,45.9033333333333,1,3,3,7,"Silver"
"248","C10250",34,"Middle-Aged","Male",200.06,47.42,0,4,129,50.015,1,2,2,5,"Silver"
"249","C10251",23,"Young Adults","Female",737.45,89.79,0,2,33,368.725,2,1,3,6,"Silver"
"250","C10252",54,"Older Adults","Female",294.93,26.12,0,6,101,49.155,2,3,2,7,"Silver"
"251","C10253",37,"Middle-Aged","Female",803.85,99.77,1,7,126,114.835714285714,3,3,2,8,"Gold"
"252","C10254",41,"Older Adults","Male",787.84,145.28,0,4,167,196.96,3,2,2,7,"Silver"
"253","C10255",59,"Seniors","Female",356.06,69.57,0,5,60,71.212,2,3,3,8,"Gold"
"254","C10256",20,"Young Adults","Male",1574.87,195.48,0,11,28,143.17,3,3,3,9,"Gold"
"255","C10257",68,"Seniors","Female",1135.95,297.5,0,3,613,378.65,3,2,1,6,"Silver"
"256","C10258",54,"Older Adults","Female",203.1,46.48,0,4,22,50.775,1,2,3,6,"Silver"
"257","C10260",37,"Middle-Aged","Male",1476.8,289.22,0,4,88,369.2,3,2,2,7,"Silver"
"258","C10261",43,"Older Adults","Female",601.64,150.64,0,3,221,200.546666666667,2,2,1,5,"Silver"
"259","C10262",23,"Young Adults","Female",251.84,37.51,0,3,122,83.9466666666667,1,2,2,5,"Silver"
"260","C10263",58,"Seniors","Female",128.45,24.58,0,2,294,64.225,1,1,1,3,"Bronze"
"261","C10264",65,"Seniors","Male",1053.58,160.31,1,8,49,131.6975,3,3,3,9,"Gold"
"262","C10265",30,"Middle-Aged","Female",745.49,167.12,0,4,138,186.3725,2,2,2,6,"Silver"
