"total_amount","price","quantity","discount","categoryElectronics","categoryFashion","categoryGrocery","categoryHome","categorySports","categoryToys",".fitted",".resid"
450.36,150.12,3,0,0,1,0,0,0,0,403.713432122917,46.6465678770828
88.16,97.95,1,0.1,1,0,0,0,0,0,58.5564976045331,29.6035023954669
217.48,217.48,1,0,0,0,0,0,1,0,266.251401454007,-48.771401454007
32.36,16.18,2,0,0,1,0,0,0,0,89.7386630978555,-57.3786630978555
74.27,26.06,3,0.05,0,1,0,0,0,0,210.283830620728,-136.013830620728
32.52,23.23,2,0.3,0,0,0,0,1,0,38.0248363142014,-5.50483631420138
41.46,20.73,2,0,0,0,0,0,1,0,88.8624241024088,-47.4024241024088
23.16,23.16,1,0,0,0,0,1,0,0,-22.1284661483253,45.2884661483253
26.12,6.53,4,0,0,0,1,0,0,0,305.313528397323,-279.193528397323
78.78,82.93,1,0.05,0,0,0,0,1,0,57.2349793660991,21.5450206339009
3.95,3.95,1,0,0,0,1,0,0,0,-43.3903544031103,47.3403544031103
137.66,137.66,1,0,0,1,0,0,0,0,155.285887781483,-17.6258877814832
174.28,48.41,4,0.1,0,1,0,0,0,0,349.3578496883,-175.0778496883
715.44,753.1,1,0.05,1,0,0,0,0,0,1041.11903951369,-325.679039513691
38.76,12.92,3,0,0,1,0,0,0,0,199.851488904562,-161.091488904562
3.04,3.04,1,0,0,0,1,0,0,0,-44.7424999448646,47.7824999448646
92.52,25.7,4,0.1,0,0,1,0,0,0,315.613646113308,-223.093646113308
17.58,18.51,1,0.05,0,0,0,0,0,1,-30.8480712921196,48.4280712921196
60.66,71.36,1,0.15,0,0,0,0,0,0,29.4962902109956,31.1637097890044
5.12,5.12,1,0,0,0,0,0,0,1,-41.6518815637117,46.7718815637117
3.65,3.65,1,0,0,0,0,0,0,0,-43.8361166696227,47.4861166696227
2571.54,857.18,3,0,1,0,0,0,0,0,1434.7744256051,1136.7655743949
319.22,168.01,2,0.05,0,0,0,1,0,0,298.965145078492,20.2548549215077
129.99,43.33,3,0,0,0,0,0,0,0,245.036923986707,-115.046923986707
22.26,22.26,1,0,0,1,0,0,0,0,-16.1839974036345,38.4439974036345
4.89,5.15,1,0.05,0,1,0,0,0,0,-50.6993508941401,55.5893508941401
168.39,37.42,5,0.1,0,1,0,0,0,0,447.984867761203,-279.594867761203
98.47,115.85,1,0.15,0,0,0,0,0,0,95.6028343347901,2.86716566520991
823.81,823.81,1,0,1,0,0,0,0,0,1155.27725128775,-331.467251287752
15.62,17.35,1,0.1,0,0,0,0,1,0,-49.3006976505993,64.9206976505993
29.91,37.39,1,0.2,0,0,0,1,0,0,-37.3526582017372,67.2626582017372
116.65,23.33,5,0,0,1,0,0,0,0,445.232991091495,-328.582991091495
31.36,36.89,1,0.15,0,0,0,0,0,1,-21.7217942112835,53.0817942112835
191.42,239.28,1,0.2,0,0,0,1,0,0,262.630488418916,-71.2104884189162
36.94,36.94,1,0,0,0,0,1,0,0,-1.65311937318738,38.5931193731874
33.96,16.98,2,0,0,0,0,0,0,1,90.927362475222,-56.967362475222
203.48,101.74,2,0,0,0,0,1,0,0,209.588305962975,-6.10830596297453
10.02,12.52,1,0.2,0,0,0,0,0,1,-67.0245945513901,77.0445945513901
111.08,111.08,1,0,0,0,0,1,0,0,108.509595424253,2.57040457574698
62.79,22.03,3,0.05,0,1,0,0,0,0,204.295757507244,-141.505757507244
61.5,21.58,3,0.05,0,0,0,0,0,0,203.627114107475,-142.127114107475
58.8,61.89,1,0.05,0,1,0,0,0,0,33.6091524455789,25.1908475544211
141.96,70.98,2,0,1,0,0,0,0,0,151.6233367287,-9.66333672869959
1161.68,1161.68,1,0,1,0,0,0,0,0,1657.30957457628,-495.629574576276
13.88,13.88,1,0,0,1,0,0,0,0,-28.6356233815486,42.5156233815486
53.93,53.93,1,0,0,0,0,0,1,0,23.2366724936431,30.6933275063569
14.51,14.51,1,0,0,0,0,0,0,1,-27.6995226218724,42.2095226218724
6.77,2.82,3,0.2,0,0,0,0,0,1,148.475977036992,-141.705977036992
167.5,44.08,4,0.05,0,1,0,0,0,0,352.016059865383,-184.516059865383
189.54,210.6,1,0.1,0,0,0,0,1,0,237.844495694496,-48.3044956944958
118.71,118.71,1,0,0,1,0,0,0,0,127.128571280114,-8.41857128011419
25.34,12.67,2,0,0,0,0,0,0,0,84.52324457966,-59.18324457966
9.42,11.77,1,0.2,0,0,1,0,0,0,-68.1390002176712,77.5590002176712
456.78,537.39,1,0.15,1,0,0,0,0,0,702.417020034872,-245.637020034872
4.84,4.84,1,0,0,0,1,0,0,0,-42.06792634579,46.90792634579
33.56,16.78,2,0,0,0,0,0,0,1,90.6301876308804,-57.0701876308804
10.98,10.98,1,0,0,0,0,0,0,1,-32.9446586245021,43.9246586245021
113.44,56.72,2,0,0,0,0,0,1,0,142.339037341684,-28.8990373416842
3.74,3.94,1,0.05,0,0,0,0,0,1,-52.497258702407,56.237258702407
6.3,7.88,1,0.2,0,0,1,0,0,0,-73.9190509401158,80.2190509401158
16.35,5.45,3,0,0,0,0,0,0,1,188.752008468403,-172.402008468403
20.37,22.63,1,0.1,0,1,0,0,0,0,-33.8183150557617,54.1883150557617
12.82,12.82,1,0,0,0,0,0,0,0,-30.2106500565592,43.0306500565592
27.79,32.69,1,0.15,0,1,0,0,0,0,-27.9624659424576,55.7524659424576
67.52,33.76,2,0,0,0,1,0,0,0,115.860331915484,-48.3403319154844
28.26,14.13,2,0,0,0,1,0,0,0,86.6926209433539,-58.4326209433539
92.86,92.86,1,0,0,0,0,0,0,0,88.7187226489592,4.14127735104084
18.59,19.57,1,0.05,0,0,0,0,0,1,-29.273044617109,47.863044617109
21.43,22.56,1,0.05,0,0,1,0,0,0,-24.8302806942017,46.2602806942017
177.35,93.34,2,0.05,0,1,0,0,0,0,195.296672487775,-17.9466724877749
32.32,35.91,1,0.1,0,0,0,0,0,0,-14.0859053914778,46.4059053914778
155.94,155.94,1,0,0,0,0,1,0,0,175.165913010079,-19.2259130100795
22.75,12.64,2,0.1,0,0,0,0,0,1,66.2945772388495,-43.5445772388495
120.29,120.29,1,0,0,0,0,1,0,0,122.194497006185,-1.90449700618487
28.05,31.17,1,0.1,0,0,0,0,1,0,-28.7659159065931,56.815915906593
123.11,136.79,1,0.1,0,0,0,1,0,0,128.52733055021,-5.41733055020966
284.7,284.7,1,0,1,0,0,0,0,0,354.227599622685,-69.5275996226847
1160.34,580.17,2,0,1,0,0,0,0,0,908.21563168026,252.12436831974
3226.84,806.71,4,0,1,0,0,0,0,0,1474.73912940497,1752.10087059503
385.24,96.31,4,0,1,0,0,0,0,0,419.174082303517,-33.9340823035172
158.85,31.77,5,0,0,0,0,0,0,0,457.773769522711,-298.923769522711
609.34,304.67,2,0,0,0,0,0,1,0,510.761550614214,98.5784493857861
862.36,862.36,1,0,1,0,0,0,0,0,1212.5577025346,-350.1977025346
44.71,47.06,1,0.05,0,0,0,0,0,0,11.5736377376474,33.1363622623526
4.21,4.21,1,0,0,0,0,0,0,0,-43.0040271054661,47.2140271054661
289.14,144.57,2,0,1,0,0,0,0,0,260.968820704201,28.1711792957994
31.13,31.13,1,0,0,0,0,1,0,0,-10.2860486013116,41.4160486013116
213.82,267.28,1,0.2,0,0,0,0,1,0,303.879755466753,-90.0597554667532
474.15,499.11,1,0.05,1,0,0,0,0,0,663.721845942044,-189.571845942044
474.59,296.62,2,0.2,1,0,0,0,0,0,450.527813886602,24.0621861133975
52.12,52.12,1,0,0,0,1,0,0,0,28.1842068565701,23.9357931434299
31.3,31.3,1,0,0,0,0,0,1,0,-10.3886611436118,41.6886611436118
130.58,145.09,1,0.1,0,0,0,1,0,0,140.860086590387,-10.2800865903871
26.03,26.03,1,0,0,0,0,0,0,0,-10.5822515877948,36.6122515877948
8.15,10.19,1,0.2,0,0,0,0,0,1,-70.48668148797,78.63668148797
45.21,15.07,3,0,0,0,0,0,0,1,203.046118481235,-157.836118481235
34.58,18.2,2,0.05,0,1,0,0,0,0,83.6480834686263,-49.0680834686263
142.96,158.84,1,0.1,0,0,0,1,0,0,161.290857138874,-18.3308571388738
32.54,16.27,2,0,0,0,0,0,0,0,89.8723917778092,-57.3323917778092
57.75,57.75,1,0,1,0,0,0,0,0,17.0084450060257,40.7415549939743
40.65,40.65,1,0,0,0,1,0,0,0,11.1412295335779,29.5087704664221
193.12,101.64,2,0.05,0,0,0,1,0,0,200.347672983724,-7.22767298372409
171.02,171.02,1,0,0,0,0,1,0,0,197.572896273438,-26.552896273438
7.39,3.89,2,0.05,0,0,1,0,0,0,62.385223355983,-54.995223355983
188.46,94.23,2,0,1,0,0,0,0,0,186.169912383414,2.2900876165865
2177.04,806.31,3,0.1,1,0,0,0,0,0,1341.00391283265,836.036087167349
93,97.9,1,0.05,0,0,0,0,1,0,79.4785164650698,13.5214835349302
99.52,99.52,1,0,0,0,0,1,0,0,91.3328894213071,8.18711057869291
16.48,16.48,1,0,0,0,0,0,0,1,-24.7723504051074,41.2523504051074
137.57,137.57,1,0,1,0,0,0,0,0,135.610925382768,1.95907461723175
331.04,331.04,1,0,0,0,0,1,0,0,435.342489231172,-104.302489231172
33.7,16.85,2,0,0,1,0,0,0,0,90.7341988264,-57.0341988264
26.91,26.91,1,0,0,0,0,0,1,0,-16.9116489769104,43.8216489769104
122.2,135.78,1,0.1,0,1,0,0,0,0,134.308353130513,-12.1083531305127
49.21,49.21,1,0,0,0,0,1,0,0,16.5785573271713,32.6314426728287
82.04,41.02,2,0,0,0,0,0,0,1,126.647778765085,-44.6077787650853
41,20.5,2,0,0,0,1,0,0,0,96.1576397356346,-55.1576397356346
57.32,57.32,1,0,0,0,0,0,1,0,28.2737861052337,29.0462138947663
97.16,48.58,2,0,0,0,0,1,0,0,130.599232336971,-33.4392323369706
37.86,37.86,1,0,0,0,0,0,0,0,6.99564045501228,30.8643595449877
189.07,99.51,2,0.05,0,0,0,0,1,0,196.827549731495,-7.75754973149526
7.37,7.76,1,0.05,0,0,0,0,0,1,-46.8212191754819,54.1912191754819
25.64,30.17,1,0.15,0,0,1,0,0,0,-31.706868981162,57.346868981162
14.25,17.81,1,0.2,0,0,1,0,0,0,-59.1643199185541,73.4143199185541
49.2,49.2,1,0,0,0,0,0,0,1,23.8454541291824,25.3545458708176
236.98,236.98,1,0,1,0,0,0,0,0,283.321681762773,-46.341681762773
23.49,23.49,1,0,0,0,0,0,1,0,-21.9933388151522,45.4833388151522
52.7,52.7,1,0,0,0,0,0,0,1,29.0460139051609,23.6539860948391
57.26,20.09,3,0.05,0,0,0,0,0,1,201.41316151713,-144.15316151713
53.08,13.27,4,0,0,0,1,0,0,0,315.328320651636,-262.248320651636
125.56,125.56,1,0,0,0,0,1,0,0,130.025054154587,-4.46505415458665
72.87,72.87,1,0,0,0,0,0,1,0,51.379130252795,21.490869747205
291.38,145.69,2,0,1,0,0,0,0,0,262.632999832514,28.7470001674864
21.01,26.26,1,0.2,0,0,0,0,0,0,-46.6086827451204,67.6186827451204
141.56,176.95,1,0.2,0,0,0,1,0,0,170.015948179849,-28.4559481798487
33.7,33.7,1,0,0,0,1,0,0,0,0.814403692706477,32.8855963072935
7.96,1.99,4,0,0,0,1,0,0,0,298.567659430768,-290.607659430768
7.39,7.78,1,0.05,0,0,0,0,0,1,-46.7915016910478,54.1815016910478
537.23,537.23,1,0,1,0,0,0,0,0,729.455416830638,-192.225416830638
206.49,206.49,1,0,0,0,0,1,0,0,250.276854917425,-43.7868549174252
33.43,33.43,1,0,0,0,0,0,1,0,-7.22374905137346,40.6537490513735
331.65,116.37,3,0.05,1,0,0,0,0,0,324.931897864427,6.71810213557279
54.98,27.49,2,0,0,1,0,0,0,0,106.543900545374,-51.5639005453744
3.72,1.86,2,0,0,0,1,0,0,0,68.4609442429952,-64.7409442429952
475.97,475.97,1,0,1,0,0,0,0,0,638.430762008798,-162.460762008798
410.13,410.13,1,0,1,0,0,0,0,0,540.600803251535,-130.470803251535
35.66,50.95,1,0.3,0,0,0,0,0,0,-28.1065393253061,63.766539325306
39.9,8.4,5,0.05,0,0,1,0,0,0,413.956843404313,-374.056843404313
21.91,21.91,1,0,0,0,0,0,0,1,-16.7040533812323,38.6140533812323
33.22,41.53,1,0.2,0,0,1,0,0,0,-23.9193833796374,57.1393833796374
323.62,323.62,1,0,0,0,0,0,1,0,423.962091346107,-100.342091346107
19.71,19.71,1,0,0,0,0,1,0,0,-27.2547322132184,46.9647322132184
1.02,1.02,1,0,0,0,1,0,0,0,-47.7439658727151,48.7639658727151
433.77,433.77,1,0,0,0,0,1,0,0,587.986348027248,-154.216348027248
40.55,42.68,1,0.05,0,1,0,0,0,0,5.06550864656583,35.4844913534342
168.7,168.7,1,0,0,0,0,1,0,0,194.125668079075,-25.4256680790752
49.93,49.93,1,0,0,0,0,0,0,1,24.9301423110293,24.9998576889707
14.4,8.47,2,0.15,0,0,1,0,0,0,51.006436177247,-36.606436177247
33.57,33.57,1,0,0,1,0,0,0,0,0.621240043884427,32.9487599561156
68.12,34.06,2,0,0,0,0,1,0,0,109.024338637769,-40.9043386377686
32.11,32.11,1,0,0,0,1,0,0,0,-1.54813631980944,33.6581363198094
389.04,389.04,1,0,1,0,0,0,0,0,509.263715915711,-120.223715915711
5.91,5.91,1,0,0,0,0,0,0,1,-40.4780409285623,46.3880409285623
212.45,118.03,2,0.1,0,0,0,1,0,0,215.609105920441,-3.15910592044065
159.04,62.37,3,0.15,0,0,0,1,0,0,238.770076952562,-79.7300769525622
30.96,30.96,1,0,0,0,0,1,0,0,-10.538647219002,41.498647219002
34.61,36.43,1,0.05,0,0,0,1,0,0,-11.5029607833381,46.1129607833381
86.03,90.56,1,0.05,0,0,0,0,1,0,68.5721996777321,17.4578003222679
11.34,11.94,1,0.05,0,0,1,0,0,0,-40.6102649287419,51.9502649287419
215.45,215.45,1,0,0,0,0,1,0,0,263.59028794393,-48.14028794393
28.88,7.6,4,0.05,0,0,0,0,0,1,297.811368257471,-268.931368257471
215.36,253.37,1,0.15,0,0,0,0,1,0,292.303290599873,-76.9432905998727
40.94,40.94,1,0,0,1,0,0,0,0,11.5721330578733,29.3678669421267
8.6,8.6,1,0,0,0,0,0,0,0,-36.4810392721675,45.0810392721675
53.07,62.43,1,0.15,0,0,0,0,1,0,8.59046670692332,44.4795332930767
2521.68,884.8,3,0.05,1,0,0,0,0,0,1466.7222260516,1054.9577739484
95.63,95.63,1,0,0,0,0,1,0,0,85.5528386988625,10.0771613011375
25.52,28.35,1,0.1,0,0,1,0,0,0,-25.3191145075912,50.8391145075912
7.27,7.27,1,0,0,0,0,0,0,0,-38.4572519870393,45.7272519870393
113.04,125.6,1,0.1,0,1,0,0,0,0,119.182153553524,-6.14215355352393
130.76,32.69,4,0,0,1,0,0,0,0,344.183998037207,-213.423998037207
140.25,140.25,1,0,0,1,0,0,0,0,159.134302015707,-18.8843020157072
260.98,274.72,1,0.05,0,0,0,1,0,0,342.566007507491,-81.5860075074909
116.08,58.04,2,0,0,1,0,0,0,0,151.937358018558,-35.8573580185576
413.13,413.13,1,0,1,0,0,0,0,0,545.058425916659,-131.928425916659
41.29,41.29,1,0,0,0,0,1,0,0,4.81043349124296,36.479566508757
25.62,25.62,1,0,0,0,0,0,0,0,-11.1914600186952,36.8114600186952
293.69,309.15,1,0.05,1,0,0,0,0,0,381.465178786369,-87.7751787863687
182.17,182.17,1,0,1,0,0,0,0,0,201.880915670951,-19.7109156709506
237.11,278.95,1,0.15,1,0,0,0,0,0,318.407686176624,-81.2976861766241
135.15,135.15,1,0,0,1,0,0,0,0,151.556343484996,-16.4063434849958
4.73,5.26,1,0.1,0,1,0,0,0,0,-59.6279502868318,64.3579502868318
16.22,16.22,1,0,0,0,0,0,0,0,-25.1586777027516,41.3786777027516
63.45,63.45,1,0,0,0,0,1,0,0,37.737406244295,25.712593755705
131.84,164.8,1,0.2,0,1,0,0,0,0,159.244331930323,-27.4043319303232
73.7,73.7,1,0,0,0,0,0,0,1,60.2493725610315,13.4506274389685
126.01,126.01,1,0,0,0,0,1,0,0,130.693697554355,-4.68369755435531
309.52,309.52,1,0,1,0,0,0,0,0,391.10699780548,-81.5869978054803
119.82,119.82,1,0,0,1,0,0,0,0,128.77789166621,-8.9578916662102
1.09,1.09,1,0,0,0,1,0,0,0,-47.6399546771955,48.7299546771955
10.1,11.88,1,0.15,0,0,1,0,0,0,-58.8835084962037,68.9835084962037
5.3,6.23,1,0.15,0,1,0,0,0,0,-67.2786978488546,72.5786978488546
1111.79,1170.31,1,0.05,1,0,0,0,0,0,1661.04062355254,-549.250623552537
60.81,60.81,1,0,0,0,0,1,0,0,33.8146982989856,26.9953017010144
101.52,106.86,1,0.05,0,0,0,1,0,0,93.1471606515651,8.37283934843487
64.94,81.17,1,0.2,0,0,0,1,0,0,27.6989152246445,37.2410847753555
49.22,57.9,1,0.15,0,0,0,0,0,0,9.49642318680425,39.7235768131957
428.38,428.38,1,0,0,1,0,0,0,0,587.259241516469,-158.879241516469
131.44,73.02,2,0.1,1,0,0,0,0,0,136.470429026825,-5.03042902682495
31.73,35.26,1,0.1,0,0,0,0,0,0,-15.0517236355881,46.7817236355881
11.97,7.04,2,0.15,0,0,1,0,0,0,48.8816360402044,-36.9116360402044
197.34,98.67,2,0,1,0,0,0,0,0,192.767193927798,4.57280607220244
55.02,61.13,1,0.1,0,0,0,0,1,0,15.7508757757824,39.2691242242176
838.28,838.28,1,0,0,0,0,1,0,0,1189.0373294504,-350.757329450402
26.76,26.76,1,0,0,1,0,0,0,0,-9.49756340594791,36.2575634059479
8.39,8.39,1,0,0,0,0,0,0,1,-36.7930728587262,45.1830728587262
230.82,256.47,1,0.1,0,0,0,1,0,0,306.356757404238,-75.5367574042382
105.2,52.6,2,0,0,0,0,0,0,0,143.854202252465,-38.6542022524654
64.48,64.48,1,0,0,0,0,1,0,0,39.2678566926544,25.2121433073456
132.24,165.3,1,0.2,1,0,0,0,0,0,140.446035322416,-8.20603532241608
28.53,28.53,1,0,0,0,0,0,0,0,-6.86756603352453,35.3975660335245
72.43,40.24,2,0.1,0,0,0,1,0,0,100.022950213766,-27.5929502137656
794.52,264.84,3,0,1,0,0,0,0,0,554.631689118512,239.888310881488
6.06,6.73,1,0.1,0,0,0,0,0,0,-57.4437151809209,63.5037151809209
479.17,168.13,3,0.05,1,0,0,0,0,0,401.84074758004,77.3292524199603
44.72,22.36,2,0,0,1,0,0,0,0,98.9213657880117,-54.2013657880117
25.35,25.35,1,0,0,0,0,0,0,1,-11.5926460585564,36.9426460585564
157.79,157.79,1,0,1,0,0,0,0,0,165.655302145707,-7.86530214570652
223.2,234.95,1,0.05,0,0,0,0,1,0,283.117578550168,-59.9175785501683
46.48,54.68,1,0.15,0,0,1,0,0,0,4.71190819290409,41.7680918070959
73.6,77.47,1,0.05,1,0,0,0,0,0,37.2178391010303,36.3821608989697
76.74,76.74,1,0,0,0,0,1,0,0,57.484674650796,19.255325349204
11.8,11.8,1,0,0,0,0,0,0,0,-31.7262417627014,43.5262417627014
268.48,67.12,4,0,0,0,0,1,0,0,388.06089194639,-119.58089194639
10.56,10.56,1,0,0,0,0,0,0,0,-33.5687257976195,44.1287257976196
66.16,73.51,1,0.1,0,0,0,1,0,0,34.5012098005195,31.6587901994805
89.6,99.55,1,0.1,1,0,0,0,0,0,60.9338963592661,28.6661036407339
141.01,156.68,1,0.1,1,0,0,0,0,0,145.821890645451,-4.81189064545131
130.91,145.46,1,0.1,0,0,0,0,1,0,141.054648892429,-10.1446488924286
25.73,25.73,1,0,0,1,0,0,0,0,-11.0280138543073,36.7580138543073
6.58,6.58,1,0,0,0,0,0,0,1,-39.4825052000179,46.0625052000179
21.29,21.29,1,0,0,0,0,0,1,0,-25.2622621029101,46.5522621029101
359.12,189.01,2,0.05,1,0,0,0,0,0,317.90902555983,41.21097444017
55.7,55.7,1,0,0,1,0,0,0,0,33.5036365702852,22.1963634297148
58.08,19.36,3,0,0,1,0,0,0,0,209.420518892363,-151.340518892363
13.16,16.45,1,0.2,0,0,0,0,0,0,-61.1851088600772,74.3451088600772
123.76,61.88,2,0,0,0,0,0,0,1,157.643115029917,-33.8831150299168
311.23,311.23,1,0,1,0,0,0,0,0,393.647842724601,-82.4178427246012
42.33,42.33,1,0,0,1,0,0,0,0,13.6374982260476,28.6925017739524
79.46,79.46,1,0,0,0,0,1,0,0,61.5262525338421,17.9337474661579
90.02,45.01,2,0,0,1,0,0,0,0,132.576416909701,-42.5564169097008
168.32,105.2,2,0.2,0,0,0,0,0,0,185.643004085994,-17.3230040859944
46.12,48.55,1,0.05,0,0,0,1,0,0,6.50583478376434,39.6141652162357
137.68,144.93,1,0.05,0,1,0,0,0,0,156.996147816222,-19.3161478162216
26.56,31.25,1,0.15,0,0,0,1,0,0,-37.3838803659455,63.9438803659454
32.37,10.79,3,0,0,1,0,0,0,0,196.686576812324,-164.316576812324
57.28,57.28,1,0,0,1,0,0,0,0,35.8513178405841,21.4286821594159
49.01,19.22,3,0.15,0,1,0,0,0,0,181.936359830085,-132.926359830085
17.4,17.4,1,0,0,0,0,0,0,0,-23.405346121136,40.805346121136
820.04,182.23,5,0.1,0,0,0,1,0,0,655.872558262528,164.167441737472
42.63,42.63,1,0,0,1,0,0,0,0,14.08326049256,28.54673950744
54.5,54.5,1,0,1,0,0,0,0,0,12.1793537854743,42.3206462145257
168.64,168.64,1,0,1,0,0,0,0,0,181.77703745124,-13.1370374512397
358.65,71.73,5,0,1,0,0,0,0,0,497.608069703407,-138.958069703407
335.37,353.02,1,0.05,0,0,0,1,0,0,458.909959067237,-123.539959067237
140.81,82.83,2,0.15,0,1,0,0,0,0,161.496043303463,-20.6860433034632
553.17,553.17,1,0,0,0,0,1,0,0,765.399730099198,-212.229730099198
111.39,111.39,1,0,0,1,0,0,0,0,116.251971977211,-4.86197197721073
